preordain,🔮,1
prep,📚,2
prepackage,📦,2
prepaid,💳,2
preparation,📋,2
preparatory,📋,1
prepare,🍳,2
preparedness,🎒,2
prepay,💳,2
preponderance,⚖️,1
preponderant,⚖️,1
preposition,📖,1
prepositional,📖,1
prepossessing,😍,2
preposterous,🤪,2
preppie,👔,2
preppy,👔,2
prerecord,🎙️,2
prerequisite,✅,1
prerogative,👑,2
presage,🔮,2
preschool,🏫,3
prescience,🔮,2
prescient,🔮,2
prescribe,💊,2
prescription,💊,3
prescriptive,📋,1
presence,👤,1
present,🎁,3
presentable,👔,2
presentation,📊,3
presentiment,🔮,2
presently,⏳,2
preservation,🛡️,2
preservative,🧪,2
preserve,🫙,2
preset,⚙️,2
preshrunk,👕,2
preside,🪑,2
presidency,🏛️,2
president,🇺🇸,2
presidential,🏛️,2
press,🗞️,2
pressing,⏰,2
pressure,🌡️,2
pressurization,🌡️,1
pressurize,🌡️,1
prestige,🏆,2
prestigious,🏆,2
presto,🎩,2
presumable,🤔,1
presumably,🤔,1
presume,🤔,2
presumption,🤔,2
presumptive,🤔,1
presumptuous,😤,2
presuppose,🤔,1
presupposition,🤔,1
preteen,🧒,2
pretend,🎭,3
pretense,🎭,2
pretension,🎭,2
pretentious,🎭,2
preterit,📖,1
preterite,📖,1
preternatural,👻,1
pretext,🎭,1
prettify,💄,2
pretty,🌸,2
pretzel,🥨,3
prevail,🏆,2
prevailing,🏆,2
prevalence,📊,1
prevalent,📊,1
prevaricate,🤥,2
prevarication,🤥,2
prevent,🚫,2
preventable,🚫,1
preventative,💊,1
prevention,🚫,2
preventive,💊,2
preview,👀,2
previous,⏮️,2
prewar,⚔️,1
prey,🦌,2
price,💲,3
priceless,💎,2
pricey,💰,2
prick,📌,2
prickle,🌵,2
prickly,🌵,2
pride,🦁,2
priest,⛪,3
priestess,⛪,2
priesthood,⛪,2
prig,😤,1
priggish,😤,1
prim,👚,1
primacy,🥇,2
primal,🦴,2
primarily,1️⃣,1
primary,1️⃣,2
primate,🐒,3
prime,🥇,2
primer,📖,2
primeval,🦕,2
primitive,🦴,2
primordial,🌋,2
primp,💄,2
prince,🤴,3
princely,👑,2
princess,👸,3
principal,🏫,2
principality,🏰,2
principle,📜,1
principled,😇,1
print,🖨️,3
printer,🖨️,3
printing,🖨️,2
prior,⏮️,1
prioress,⛪,1
prioritize,📋,2
priority,❗,2
priory,⛪,1
prism,🔺,3
prismatic,🌈,2
prison,🔒,3
prisoner,🔒,2
prissy,💅,1
pristine,✨,2
privacy,🔒,2
private,🔒,2
privateer,☠️,2
privation,😞,1
privet,🌳,1
privilege,🎫,2
privileged,🎫,1
privy,🚽,2
prize,🏆,3
pro,👍,1
proactive,🏃,1
probability,🎲,2
probable,🎲,1
probate,⚖️,1
probation,⚖️,2
probationary,⚖️,1
probationer,⚖️,1
probe,🔬,2
probity,😇,1
problem,❗,2
problematic,⚠️,2
problematical,⚠️,1
proboscis,🐘,2
procedural,📋,1
procedure,📋,2
proceed,➡️,2
proceeding,➡️,1
proceeds,💰,2
process,⚙️,2
procession,🚶,2
processional,🚶,1
processor,🖥️,2
proclaim,📢,2
proclamation,📜,2
proclivity,🎯,1
procrastinate,🛌,2
procrastination,🛌,2
procreate,👶,2
procreation,👶,2
proctor,👀,1
procure,🛒,2
procurement,🛒,2
prod,👉,2
prodigal,🏡,1
prodigious,🏆,1
prodigy,🌟,2
produce,🥕,2
producer,🎬,2
product,📦,2
production,🏭,2
productive,✅,2
productivity,📈,2
prof,👨‍🏫,1
profanation,🚫,1
profane,🤬,2
profanity,🤬,2
profess,🗣️,1
profession,💼,2
professional,💼,2
professionalism,💼,1
professor,👨‍🏫,1
professorial,🏫,1
professorship,🏫,1
proffer,🤲,2
proficiency,🏆,1
proficient,🏆,2
profile,👤,2
profit,💰,3
profitable,💰,2
profiteer,💰,1
profligacy,💸,1
profligate,💸,2
profound,🧠,2
profundity,🧠,1
profuse,💦,2
profusion,💦,1
progenitor,👴,1
progeny,👶,2
progesterone,💊,1
prognoses,🔮,1
prognosis,🔮,2
prognostic,🔮,1
prognosticate,🔮,2
prognostication,🔮,1
program,💻,2
programmable,⚙️,1
progress,📈,2
progression,📈,2
progressive,📈,1
prohibit,🚫,3
prohibition,🚫,2
prohibitionist,🚫,1
prohibitive,🚫,1
project,📋,2
projectile,🚀,2
projection,📽️,2
projectionist,📽️,1
projector,📽️,3
proletarian,👷,1
proletariat,👷,1
proliferate,📈,2
proliferation,📈,2
prolific,📈,1
prolix,📖,1
prologue,📖,2
prolong,⏳,2
prolongation,⏳,1
prom,💃,2
promenade,🚶,2
prominence,⭐,1
prominent,⭐,2
promiscuity,💋,1
promiscuous,💋,1
promise,🤝,2
promising,🌟,2
promontory,⛰️,2
promote,📢,2
promoter,📢,1
promotion,🎉,2
promotional,📢,1
prompt,⏰,2
promulgate,📢,1
promulgation,📢,1
prone,🛌,2
prong,🍴,2
pronoun,📖,1
pronounce,🗣️,2
pronounceable,🗣️,1
pronounced,❗,1
pronouncement,📢,1
pronto,⚡,2
pronunciation,🗣️,2
proof,✅,2
prop,🎬,1
propaganda,📢,2
propagandist,📢,1
propagandize,📢,1
propagate,🌱,2
propagation,🌱,1
propane,🔥,2
propel,🚀,2
propellant,🚀,2
propellent,🚀,2
propeller,🌀,3
propensity,🎯,1
proper,👔,1
propertied,🏠,1
property,🏠,3
prophecy,🔮,2
prophesy,🔮,2
prophet,🧙,2
prophetess,🧙,1
prophetic,🔮,2
prophylactic,💊,1
propinquity,📏,1
propitiate,🙏,1
propitiation,🙏,1
propitiatory,🙏,1
propitious,🍀,2
proponent,🙋,1
proportion,⚖️,2
proportional,⚖️,1
proportionate,⚖️,1
proposal,💍,2
propose,💍,2
proposition,💼,1
propound,🗣️,1
proprietary,©️,1
proprietor,🏪,2
proprietress,🏪,1
propriety,🎩,1
propulsion,🚀,2
propulsive,🚀,1
prorate,➗,1
prosaic,😐,1
proscenium,🎭,1
proscribe,🚫,1
proscription,🚫,1
prose,📖,2
prosecute,⚖️,2
prosecution,⚖️,2
proselyte,⛪,1
proselytize,⛪,1
prosody,📖,1
prospect,⛏️,2
prospective,🔮,1
prospectus,📄,1
prosper,💰,2
prosperity,💰,2
prosperous,💰,2
prostate,🏥,1
prostheses,🦿,2
prosthesis,🦿,3
prosthetic,🦿,2
prostitute,💋,2
prostitution,💋,1
prostrate,🛌,2
prostration,🛌,1
protagonist,🦸,2
protean,🔄,1
protect,🛡️,3
protection,🛡️,3
protective,🛡️,2
protector,🛡️,2
protectorate,🛡️,1
protege,🎓,1
protein,🥩,2
protest,✊,3
protestation,✊,1
protocol,📋,2
proton,⚛️,3
protoplasm,🦠,1
prototype,🧪,2
protozoa,🦠,2
protozoan,🦠,2
protract,⏳,1
protraction,⏳,1
protractor,📐,3
protrude,👉,1
protrusion,👉,1
protuberance,🍄,1
protuberant,🍄,1
proud,😊,3
provable,✅,1
prove,✅,2
proven,✅,2
provenance,📜,1
provender,🌾,1
proverb,📜,2
proverbial,📜,1
provide,🤲,2
provided,📦,1
providence,🍀,1
provident,💰,1
providential,🍀,1
providing,🤲,1
province,🗺️,2
provincial,🗺️,1
provincialism,🗺️,1
provision,📦,2
provisional,⏳,1
proviso,📜,1
provocation,😠,2
provocative,😏,2
provoke,😠,2
provost,🎓,1
prow,⛵,2
prowess,💪,2
prowl,🐆,2
proximity,📏,2
proxy,🗳️,1
prude,😳,1
prudence,🤔,1
prudent,🤔,2
prudential,🤔,1
prudery,😳,1
prudish,😳,1
prune,🍇,2
prurience,😏,1
prurient,😏,1
pry,🔓,2
psalm,📖,2
psalmist,📖,1
pseudonym,✍️,1
psoriasis,🩹,1
psych,🧠,1
psyche,🧠,2
psychedelic,🌈,2
psychiatric,🧠,1
psychiatrist,🧠,2
psychiatry,🧠,2
psychic,🔮,2
psychical,🔮,1
psycho,🔪,2
psychoanalysis,🛋️,2
psychoanalyst,🛋️,2
psychoanalyze,🛋️,1
psychobabble,💬,1
psychological,🧠,2
psychologist,🧠,2
psychology,🧠,3
psychopath,🔪,2
psychopathic,🔪,1
psychoses,🧠,1
psychosis,🧠,2
psychosomatic,🧠,1
psychotherapist,🛋️,2
psychotherapy,🛋️,2
psychotic,🌀,1
pterodactyl,🦖,2
ptomaine,🤢,1
pub,🍺,3
puberty,🧑,1
pubescence,🧑,1
pubescent,🧑,1
pubic,🦴,1
public,🏛️,2
publication,📰,2
publicist,📢,2
publicity,📢,2
publicize,📢,2
publish,📚,3
puck,🏒,3
pucker,😗,2
puckish,😏,1
pudding,🍮,3
puddle,💧,3
pudgy,🐷,2
pueblo,🏘️,2
puerile,👶,2
puff,💨,3
puffy,☁️,2
pug,🐶,3
pugilism,🥊,2
pugilist,🥊,2
pugilistic,🥊,1
pugnacious,😠,2
pugnacity,😠,1
puke,🤮,3
pulchritude,😍,1
pull,↔️,2
pullet,🐔,2
pulley,⚙️,3
pulmonary,🫁,3
pulp,🍊,2
pulpit,⛪,2
pulpy,🍊,1
pulsar,⭐,2
pulsate,💓,2
pulsation,💓,2
pulse,💓,3
pulverization,💥,1
pulverize,💥,2
puma,🐆,3
pumice,🪨,2
pummel,👊,2
pump,⛽,3
pumpernickel,🍞,1
pumpkin,🎃,3
pun,😏,2
punch,👊,3
punchy,👊,1
punctilious,📏,1
punctual,⏰,2
punctuality,⏰,2
punctuate,❗,1
punctuation,❗,2
puncture,📌,2
pundit,🎙️,1
pungency,👃,1
pungent,👃,2
punish,⛓️,2
punishable,⚖️,1
punishment,⛓️,2
punitive,⚖️,1
punk,🤘,2
punster,😏,1
punt,🏈,2
puny,🐜,1
pup,🐶,3
pupa,🐛,2
pupae,🐛,2
pupal,🐛,1
pupil,👁️,2
puppet,🎎,3
puppeteer,🎎,2
puppetry,🎎,2
puppy,🐶,3
purchase,🛒,3
pure,✨,2
puree,🥣,2
purely,✨,1
purgative,💊,1
purgatorial,🔥,1
purgatory,🔥,1
purge,🗑️,2
purification,💧,1
purify,💧,2
purism,✨,1
purist,✨,1
puritan,⛪,2
puritanical,⛪,1
puritanism,⛪,1
purity,✨,2
purl,🧶,1
purloin,🥷,1
purple,🟣,3
purplish,🟣,2
purport,📢,1
purpose,🎯,2
purposeful,🎯,2
purposeless,❓,1
purposely,🎯,1
purr,😻,3
purse,👛,3
purser,👛,1
pursuance,🏃,1
pursuant,📋,1
pursue,🏃,2
pursuit,🏃,2
purvey,🛒,1
purview,👀,1
pus,🤢,2
push,👉,3
pusher,👉,1
pushy,😤,2
pusillanimity,😨,1
pusillanimous,😨,1
puss,🐱,2
pussy,🐱,2
pustule,🔴,1
put,✋,1
putative,🤔,1
putrefaction,🤢,1
putrefy,🤢,2
putrescence,🤢,1
putrescent,🤢,1
putrid,🤢,2
putt,⛳,2
putter,⛳,1
putty,🧱,2
puzzle,🧩,3
puzzlement,🤔,2
pygmy,🧍,1
pyjamas,👘,2
pylon,🚧,3
pyorrhea,🦷,1
pyramid,🔺,3
pyramidal,🔺,2
pyre,🔥,2
pyrite,💎,2
pyromania,🔥,1
pyromaniac,🔥,2
pyrotechnic,🎆,2
pyrotechnics,🎆,2
python,🐍,3
quack,🦆,2
quackery,🦆,1
quad,🏟️,1
quadrangle,🏛️,1
quadrant,📐,1
quadrilateral,🔷,2
quadrille,💃,1
quadriplegic,♿,1
quadruped,🐾,1
quadruple,4️⃣,2
quadruplet,👶,1
quaff,🍺,2
quagmire,🐊,2
quahog,🐚,2
quail,🐦,2
quaint,🏡,1
quake,🌎,2
qualification,🎓,2
qualified,✅,2
qualifier,✅,1
qualify,✅,2
qualitative,📊,1
quality,⭐,2
qualm,😟,1
quandary,🤔,2
quanta,⚛️,1
quantify,🔢,2
quantitative,📊,1
quantity,🔢,2
quantum,⚛️,2
quarantine,🦠,2
quark,⚛️,2
quarrel,😠,2
quarrelsome,😠,1
quarry,⛏️,2
quart,🥛,1
quarter,🪙,3
quarterly,📅,1
quartet,🎻,2
quartette,🎻,1
quarto,📖,1
quartz,💎,2
quasar,⭐,2
quash,🚫,1
quasi,🔄,1
quatrain,📜,1
quaver,🎵,1
quavery,🎵,1
quay,⚓,2
queasy,🤢,2
queen,👸,3
queer,🏳️‍🌈,1
quell,🚫,1
quench,🥤,2
querulous,😠,1
query,❓,2
quest,🗺️,3
question,❓,3
questionable,❓,1
questioningly,❓,1
questionnaire,📋,2
